kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_umkm,proyeksi_jumlah_umkm,jumlah_penduduk_ribu,pengeluaran_per_kapita,daya_beli,total_umkm_binaan,sektor_dominan,jumlah_sektor_dominan,share_sektor_dominan_pct,kepadatan_per_1000,pertumbuhan_abs,pertumbuhan_pct
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2019,422992,422992,3775.3,10502.0,10502.0,180,MAKANAN,95,52.7778,112.042,24646.0,6.1871
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2020,449164,449164,3616.54,10201.0,10201.0,300,MAKANAN,144,48.0,124.1972,26172.0,6.1874
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2021,476954,476954,3652.4,10307.0,10307.0,144,MAKANAN,108,75.0,130.5865,27790.0,6.187
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2022,506465,506465,3687.25,10588.0,10588.0,162,MAKANAN,92,56.7901,137.3558,29511.0,6.1874
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2023,537801,537801,3721.11,11018.0,11018.0,154,FASHION,121,78.5714,144.527,31336.0,6.1872
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2019,187128,187128,1699.9,8684.0,8684.0,120,MAKANAN,49,40.8333,110.0818,10903.0,6.187
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2020,198707,198707,1782.19,8455.0,8455.0,240,KULINER,73,30.4167,111.496,11579.0,6.1877
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2021,211001,211001,1808.42,8546.0,8546.0,144,MAKANAN,53,36.8056,116.677,12294.0,6.187
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2022,224056,224056,1834.23,9044.0,9044.0,157,MAKANAN,92,58.5987,122.1526,13055.0,6.1872
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2023,237919,237919,1859.64,9392.0,9392.0,160,FASHION,82,51.25,127.9382,13863.0,6.1873
32,JAWA BARAT,3216,KABUPATEN BEKASI,2019,276635,276635,3763.9,11610.0,11610.0,63,MAKANAN,43,68.254,73.4969,16118.0,6.1869
32,JAWA BARAT,3216,KABUPATEN BEKASI,2020,293752,293752,3101.73,11241.0,11241.0,183,KULINER,68,37.1585,94.7059,17117.0,6.1876
32,JAWA BARAT,3216,KABUPATEN BEKASI,2021,311927,311927,3148.74,11341.0,11341.0,144,MAKANAN,91,63.1944,99.0641,18175.0,6.1872
32,JAWA BARAT,3216,KABUPATEN BEKASI,2022,331226,331226,3193.84,11757.0,11757.0,156,MAKANAN,88,56.4103,103.7078,19299.0,6.187
32,JAWA BARAT,3216,KABUPATEN BEKASI,2023,351720,351720,3237.42,12123.0,12123.0,163,FASHION,95,58.2822,108.6421,20494.0,6.1873
32,JAWA BARAT,3201,KABUPATEN BOGOR,2019,449059,449059,5965.4,10683.0,10683.0,164,KULINER,49,29.878,75.2773,26165.0,6.1871
