nama_kabupaten_kota,tahun,binaan_agribisnis,binaan_aksesoris,binaan_batik,binaan_bordir,binaan_craft,binaan_dekorasi,binaan_fashion,binaan_industri,binaan_jasa,binaan_konveksi,binaan_kuliner,binaan_makanan,binaan_mebel,binaan_minuman,binaan_obat-obatan
KABUPATEN BANDUNG,2019,0,2,1,0,13,1,22,7,2,17,11,95,0,9,0
KABUPATEN BANDUNG,2020,0,2,0,1,22,1,30,10,4,27,47,144,0,12,0
KABUPATEN BANDUNG,2021,1,0,0,0,9,0,16,1,2,0,1,108,0,6,0
KABUPATEN BANDUNG,2022,3,0,0,0,7,0,20,4,3,3,16,92,0,14,0
KABUPATEN BANDUNG,2023,0,12,0,0,3,0,121,0,9,0,0,0,6,0,3
KABUPATEN BANDUNG BARAT,2019,0,0,0,0,17,0,26,1,4,0,17,49,0,6,0
KABUPATEN BANDUNG BARAT,2020,7,0,0,0,30,0,47,2,18,3,73,52,0,8,0
KABUPATEN BANDUNG BARAT,2021,4,0,0,0,16,0,27,1,10,0,22,53,0,11,0
KABUPATEN BANDUNG BARAT,2022,2,0,0,0,14,0,20,2,11,0,5,92,0,11,0
KABUPATEN BANDUNG BARAT,2023,0,8,0,0,8,0,82,0,10,0,0,0,43,0,9
KABUPATEN BEKASI,2019,0,1,1,1,5,0,8,1,0,0,0,43,0,3,0
KABUPATEN BEKASI,2020,5,1,3,1,15,0,15,1,2,3,68,60,0,9,0
KABUPATEN BEKASI,2021,2,1,3,0,11,0,7,0,0,0,22,91,0,7,0
KABUPATEN BEKASI,2022,3,0,0,0,16,0,18,3,4,0,8,88,1,15,0
KABUPATEN BEKASI,2023,0,21,0,0,17,0,95,0,20,1,0,0,3,0,6
KABUPATEN BOGOR,2019,9,0,0,0,30,0,13,10,11,1,49,33,0,8,0
KABUPATEN BOGOR,2020,11,0,0,0,37,0,35,16,14,1,52,104,0,14,0
KABUPATEN BOGOR,2021,0,2,0,0,11,0,15,3,5,0,2,90,1,15,0
KABUPATEN BOGOR,2022,4,0,22,3,7,0,19,5,1,0,10,98,1,9,0
KABUPATEN BOGOR,2023,0,11,22,3,4,0,98,0,14,0,0,0,5,0,0
KABUPATEN CIAMIS,2019,0,1,0,0,1,0,2,1,0,1,0,66,0,3,0
KABUPATEN CIAMIS,2020,0,1,0,0,8,0,3,1,4,2,69,98,0,9,0
KABUPATEN CIAMIS,2021,0,0,0,0,9,0,6,0,1,0,1,123,0,4,0
KABUPATEN CIAMIS,2022,0,0,0,0,8,0,3,0,4,0,0,129,2,13,0
KABUPATEN CIAMIS,2023,0,13,0,0,5,0,143,1,9,0,0,0,1,0,0
KABUPATEN CIANJUR,2019,2,0,0,0,4,1,10,1,1,5,13,44,0,8,2
KABUPATEN CIANJUR,2020,16,0,1,1,11,1,18,2,10,11,20,94,1,21,4
KABUPATEN CIANJUR,2021,3,1,2,0,17,0,15,0,6,0,15,70,0,15,0
