kepadatan_per_1000,pertumbuhan_pct,daya_beli,cluster
112.042,6.1871,10502.0,3
124.1972,6.1874,10201.0,3
130.5865,6.187,10307.0,3
137.3558,6.1874,10588.0,3
144.527,6.1872,11018.0,3
110.0818,6.187,8684.0,1
111.496,6.1877,8455.0,1
116.677,6.187,8546.0,1
122.1526,6.1872,9044.0,1
127.9382,6.1873,9392.0,1
73.4969,6.1869,11610.0,3
94.7059,6.1876,11241.0,3
99.0641,6.1872,11341.0,3
103.7078,6.187,11757.0,3
108.6421,6.1873,12123.0,3
75.2773,6.1871,10683.0,3
88.1515,6.1874,10317.0,3
92.3292,6.1871,10410.0,3
96.7685,6.1873,10860.0,3
101.4645,6.1872,11153.0,3
139.969,6.1875,9557.0,1
144.8897,6.1874,9288.0,1
152.7603,6.1872,9259.0,1
161.1041,6.1871,9428.0,1
169.9482,6.1871,9750.0,1
132.695,6.1873,8290.0,1
129.0728,6.1871,7980.0,1
135.4101,6.1872,8052.0,1
142.1304,6.1873,8244.0,1
149.253,6.1872,8626.0,1
137.9233,6.1872,10670.0,3
141.461,6.1874,10342.0,3
148.1913,6.1871,10368.0,3
155.3334,6.1873,10791.0,3
162.912,6.1871,11128.0,3
118.3187,6.1872,8099.0,1
127.8356,6.1873,7876.0,1
133.8661,6.1874,7961.0,1
140.248,6.1873,8227.0,1
146.9987,6.1872,8685.0,1
132.3384,6.1875,10090.0,1
132.7881,6.1872,9859.0,1
139.2908,6.1873,9810.0,1
146.1978,6.187,10166.0,3
153.5282,6.1872,10580.0,3
118.8262,6.187,11856.0,3
122.0214,6.1872,11315.0,3
127.9169,6.1873,11522.0,3
134.1653,6.1873,11927.0,3
140.785,6.1872,12392.0,3
105.1157,6.1866,9673.0,1
103.7675,6.1879,9459.0,1
108.9358,6.1871,9409.0,1
114.4053,6.1872,9620.0,1
120.1945,6.1869,10011.0,1
155.844,6.1872,9822.0,1
153.208,6.1872,9521.0,1
161.0246,6.1872,9591.0,1
169.3135,6.187,9950.0,1
178.0982,6.1872,10340.0,3
180.7939,6.1867,9423.0,1
181.4777,6.1878,9084.0,1
191.2662,6.1872,9065.0,1
201.6729,6.1867,9389.0,1
212.7312,6.1872,9406.0,1
108.4879,6.1875,11819.0,3
111.5585,6.1869,11614.0,3
116.7474,6.1879,11669.0,3
122.2444,6.1873,12193.0,3
128.0685,6.1865,12619.0,3
127.3856,6.1874,11012.0,3
134.4706,6.187,10790.0,3
141.4296,6.1874,10854.0,3
148.8157,6.1872,11294.0,3
156.6577,6.1874,11537.0,3
130.5948,6.1872,8973.0,1
125.7991,6.1875,8823.0,1
132.1866,6.1872,8850.0,1
138.956,6.1871,9210.0,1
146.1272,6.1873,9482.0,1
120.7341,6.1873,10406.0,3
128.5314,6.1876,10217.0,3
135.3312,6.1871,10262.0,3
142.5268,6.1874,10776.0,3
150.1375,6.187,11136.0,3
128.3741,6.1874,8092.0,1
128.4827,6.1875,7852.0,1
135.2812,6.187,7829.0,1
142.4877,6.1873,8177.0,1
150.1272,6.1873,8562.0,1
164.2051,6.1872,17254.0,2
179.3385,6.1873,16887.0,2
188.6504,6.1872,16996.0,2
198.4888,6.1872,17639.0,2
208.8822,6.1873,18236.0,2
169.3392,6.1849,10705.0,3
164.4031,6.1891,10535.0,3
172.4645,6.1868,10476.0,3
180.974,6.1867,10967.0,3
189.9764,6.1872,11356.0,3
80.9371,6.1875,16157.0,2
101.7972,6.1873,15776.0,2
106.7527,6.187,15903.0,2
112.0466,6.1873,16239.0,2
117.6594,6.1871,16479.0,2
93.0285,6.1871,11825.0,3
105.5748,6.1871,11564.0,3
111.0037,6.188,11716.0,3
116.7578,6.1866,12058.0,3
122.85,6.1878,12656.0,3
110.9246,6.1882,12448.0,3
127.8008,6.1872,12025.0,3
133.7505,6.186,12019.0,3
140.0275,6.1874,12500.0,3
146.6451,6.1873,12883.0,3
150.8362,6.189,11930.0,3
153.7735,6.1875,11800.0,3
161.7164,6.1867,11810.0,3
170.1363,6.1872,12087.0,3
179.0573,6.1874,12506.0,3
80.7849,6.1872,15696.0,2
100.8696,6.1872,15281.0,2
105.3457,6.1875,15420.0,2
110.1442,6.1873,15926.0,2
115.2265,6.1872,16279.0,2
145.6404,6.1864,11204.0,3
147.4176,6.1873,10999.0,3
154.1596,6.1868,10942.0,3
161.2712,6.1876,11229.0,3
168.7694,6.1864,11799.0,3
164.4205,6.1867,10414.0,3
162.3201,6.1874,10263.0,3
170.1148,6.1868,10213.0,3
178.3271,6.1873,10578.0,3
186.9917,6.1874,11063.0,3
